technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9
heat_pump,power,AT,2.7354,2.7354,2.7354,2.3865,2.2465,1.8942,1.7893,1.6543,1.6543,1.3789
heat_pump,power,BE,2.5452,2.5452,2.5452,2.4656,2.3013,2.0416,2.0287,1.8575,1.8575,1.4172
heat_pump,power,BG,0.7664,0.7664,0.7664,0.7502,0.7268,0.6511,0.5709,0.537,0.4539,0.4539
heat_pump,power,CH,3.7062,3.7062,3.7062,3.2335,3.0438,2.5665,2.4243,2.2415,2.2415,1.8683
heat_pump,power,CZ,2.0217,2.0217,2.0217,1.8812,1.7884,1.6713,1.6471,1.6164,1.5455,1.1465
heat_pump,power,DE,8.2186,8.2186,8.2186,7.9285,7.7684,5.8007,5.6405,4.6909,4.6909,3.6319
heat_pump,power,DK,1.6415,1.6415,1.6415,1.5775,1.4768,1.3932,1.3215,1.2726,1.2726,1.0094
heat_pump,power,EE,0.0555,0.0555,0.0555,0.0528,0.0469,0.0459,0.0416,0.0405,0.0405,0.0325
heat_pump,power,EL,5.8748,5.8748,5.8748,5.8748,5.7903,5.5984,5.4573,5.1797,5.0752,5.0752
heat_pump,power,ES,20.686,20.686,20.686,20.4504,20.1762,21.0395,25.8893,26.3184,27.447,27.8615
heat_pump,power,FI,4.5776,4.5776,4.5776,4.202,3.8952,3.6902,3.3393,3.1343,3.0188,2.5419
heat_pump,power,FR,59.3938,59.3938,59.3938,58.2865,55.9797,52.8311,52.0523,51.2648,50.0207,49.4591
heat_pump,power,HR,0.5989,0.5989,0.5989,0.5769,0.5083,0.46,0.4273,0.419,0.419,0.4932
heat_pump,power,HU,0.6628,0.6628,0.6628,0.6538,0.5798,0.4637,0.4362,0.4271,0.4167,0.3028
heat_pump,power,IE,0.5144,0.5144,0.5144,0.4914,0.4359,0.4021,0.3889,0.3621,0.3457,0.3598
heat_pump,power,IT,9.9349,9.9349,9.9349,9.8751,9.3146,9.0002,8.9405,8.8356,8.8356,7.4975
heat_pump,power,LT,0.1468,0.1468,0.1468,0.1435,0.1407,0.132,0.122,0.1212,0.1212,0.1002
heat_pump,power,LU,0.2372,0.2372,0.2372,0.2245,0.2226,0.1954,0.1954,0.1936,0.1936,0.1907
heat_pump,power,LV,0.0713,0.0713,0.0713,0.0674,0.0618,0.0553,0.0484,0.0478,0.0447,0.0421
heat_pump,power,NL,1.5742,1.5742,1.5742,1.5216,1.4839,1.3969,1.3885,1.3563,1.3563,1.1544
heat_pump,power,NO,10.4566,10.4566,10.4566,8.956,7.9306,6.0923,4.8273,3.8018,2.9081,2.2879
